lookupId,First Order (from sales data),src_www,src_iphone,src_android,src_ipad,src_manual,src_facebookshop,src_external,src_Amazon FBM,January,February,March,April,May,June,July,August,September,October,November,December,pct_Direct Sales,pct_Orders for Stock,pct_Drop Shipments,pct_Platypus,pct_Moss Motors Only,pct_R&D Club,Units Sold,Base Product Sku,Listing Type,Unit Weight (pounds),retailPrice,make,model,yearMin,yearMax,Revenue 2019 to present,Number of Components,BOM Cost,Sales Channel,Product Type,Designer,Main Component Material,Main Component MFG Process,Main Component Finishing Process
AM-0015-146,5/23/20,33.33%,33.33%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,33.33%,0.00%,0.00%,33.33%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3,AM-0015,variant,0.5,34.99,Scion,FR-S,2012,2020,104.97,2,4.82,BigC,#Non-Craven,Outside,Plastic,Purchase,None
AM-0015-147,4/19/19,45.68%,12.35%,0.00%,12.35%,17.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,24.69%,0.00%,0.00%,12.35%,0.00%,12.35%,0.00%,17.28%,20.99%,61.73%,25.92%,0.00%,0.00%,0.00%,0.00%,9,AM-0015,single,0.5,34.99,MINI,Cooper,2001,2006,283.41,2,4.82,BigC,#Non-Craven,Outside,Plastic,Purchase,None
AM-0015-320,2/4/20,41.36%,12.35%,18.52%,0.00%,21.60%,0.00%,0.00%,0.00%,12.35%,12.35%,0.00%,27.78%,0.00%,18.52%,0.00%,6.17%,6.17%,0.00%,6.17%,4.32%,49.38%,25.92%,0.00%,0.00%,0.00%,0.00%,17,AM-0015,variant,0.5,34.99,MINI,Cooper,2001,2006,566.82,2,4.82,BigC,#Non-Craven,Outside,Plastic,Purchase,None
AM-0015-659,3/4/19,45.88%,17.82%,6.68%,0.00%,18.48%,0.00%,0.00%,0.00%,3.79%,14.48%,11.58%,6.68%,24.28%,6.90%,2.23%,0.00%,4.45%,1.56%,3.12%,9.80%,40.09%,42.09%,0.00%,0.00%,0.00%,0.00%,52,AM-0015,single,0.5,34.99,MINI,Cooper,2001,2006,1570.97,2,4.82,BigC,#Non-Craven,Outside,Plastic,Purchase,None
AM-0016-056,2/21/20,0.00%,19.23%,0.00%,0.00%,80.77%,0.00%,0.00%,0.00%,0.00%,19.23%,0.00%,40.38%,0.00%,0.00%,0.00%,0.00%,13.46%,0.00%,26.92%,0.00%,19.23%,80.77%,0.00%,0.00%,0.00%,0.00%,8,AM-0016,variant,0.5,34.99,MINI,Cooper,2001,2006,181.93,2,4.82,BigC,#Non-Craven,Outside,Plastic,Purchase,None
AM-0016-349,11/29/20,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,AM-0016,variant,0.5,34.99,Scion,FR-S,2012,2020,34.99,2,4.82,BigC,#Non-Craven,Outside,Plastic,Purchase,None
AM-0016-498,3/31/19,31.14%,17.97%,17.97%,0.00%,20.96%,0.00%,0.00%,0.00%,8.38%,8.38%,5.99%,0.00%,10.18%,17.97%,5.99%,14.37%,8.38%,0.00%,0.00%,8.38%,35.93%,46.10%,0.00%,0.00%,0.00%,0.00%,18,AM-0016,single,0.5,34.99,MINI,Cooper,2001,2006,584.3,2,4.82,BigC,#Non-Craven,Outside,Plastic,Purchase,None
AM-0016-513,no sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,AM-0016,single,0.5,34.99,MINI,Cooper,2001,2006,34.99,2,4.82,BigC,#Non-Craven,Outside,Plastic,Purchase,None
CRCH-0015-105,1/11/19,60.43%,7.19%,21.58%,0.00%,3.60%,0.00%,3.60%,0.00%,3.60%,0.00%,14.39%,14.39%,13.31%,35.97%,0.00%,3.60%,0.00%,7.55%,0.00%,3.60%,57.55%,35.25%,0.00%,0.00%,0.00%,0.00%,33,CRCH-0015,single,0.2,25,FIAT,500X,2015,2021,695,5,3.16223,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRCH-0015-147,5/20/19,51.52%,27.27%,12.12%,0.00%,6.06%,0.00%,0.00%,0.00%,6.06%,6.06%,18.18%,6.06%,3.03%,3.03%,6.06%,18.18%,6.06%,6.06%,9.09%,9.09%,93.94%,0.00%,0.00%,0.00%,0.00%,0.00%,34,CRCH-0015,single,0.2,25,Jeep,Liberty,2011,2015,825,5,3.16223,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
